"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ONECUT1",0,-0.647681274266906,0.172,0.519,0
"DAB1",0,-0.337784179347817,0.247,0.594,0
"LIMCH1",0,-0.838355391286472,0.168,0.515,0
"NDUFB1",0,-1.14377168904698,0.084,0.431,0
"OST4",0,-0.58501005992002,0.151,0.497,0
"MAP4K4",0,-0.250148410423189,0.244,0.59,0
"NDUFA1",0,-0.878950455029359,0.097,0.443,0
"NDUFB2",0,-0.304680826607803,0.208,0.553,0
"MTSS1",0,-0.347974069686298,0.221,0.566,0
"AFDN",0,-0.39385657449842,0.213,0.556,0
"NDUFC1",0,-0.889968981026285,0.097,0.44,0
"TUBB4A",0,-0.274618965413132,0.26,0.603,0
"SEC61G",0,-0.435352882470467,0.193,0.535,0
"TCAF1",0,-0.272059145793105,0.19,0.532,0
"KCNB2",0,-1.16826222996415,0.124,0.466,0
"TNRC6B",0,-0.298302113261874,0.217,0.558,0
"EXOC6B",0,-0.701002835977367,0.178,0.519,0
"LINC02315",0,-0.751680597752116,0.157,0.498,0
"SSH2",0,-0.448318846580118,0.201,0.541,0
"ATP5PF",0,-0.251093932184252,0.224,0.564,0
"CDH2",0,-0.432174714800761,0.194,0.533,0
"ZNF608",0,-0.718031710614558,0.156,0.495,0
"ZMYND8",0,-1.35527927320429,0.086,0.425,0
"PTBP2",0,-0.358147967769156,0.222,0.56,0
"TMA7",0,-0.404841212750297,0.207,0.545,0
"HIST1H1E",0,-0.391698359412181,0.184,0.522,0
"ATP1A1",0,-0.552258229671481,0.165,0.503,0
"MRPS21",0,-0.451353648657635,0.136,0.474,0
"SERF2",0,-0.330084998899021,0.272,0.61,0
"NREP",0,-0.481304580059482,0.582,0.919,0
"CHD9",0,-0.290046416538155,0.219,0.556,0
"GSTA4",0,-0.766482057976236,0.122,0.459,0
"THSD7A",0,-1.12962091001016,0.124,0.461,0
"TCF25",0,-0.526076880926129,0.182,0.519,0
"GRIA4",0,-1.12806067931442,0.133,0.469,0
"SCN3A",0,-0.568681452530409,0.174,0.509,0
"NR4A2",0,-0.257294352765696,0.213,0.547,0
"EPC1",0,-0.507905844414915,0.178,0.512,0
"BPTF",0,-0.33333287815219,0.201,0.535,0
"DPP10",0,-0.931392502836423,0.153,0.486,0
"PIK3R1",0,-0.544061405135997,0.157,0.49,0
"SCN2A",0,-0.413210523856632,0.203,0.535,0
"IDH1",0,-0.581573335817494,0.137,0.468,0
"AHI1",0,-0.629145763002838,0.181,0.512,0
"RFX3",0,-0.675274461173737,0.168,0.499,0
"NAP1L4",0,-0.268269475539324,0.216,0.546,0
"GNAI1",0,-0.462525915177892,0.156,0.486,0
"PNISR",0,-0.468350710548436,0.187,0.516,0
"CCDC184",0,-0.26695487672823,0.191,0.52,0
"TSPAN3",0,-0.275405734612997,0.197,0.526,0
"FBXL17",0,-0.701140496496054,0.156,0.485,0
"PLPPR1",0,-0.623480903476421,0.162,0.491,0
"COMMD6",0,-0.436831100534985,0.143,0.472,0
"SCAPER",0,-0.764462616083826,0.146,0.475,0
"PHIP",0,-0.817359416331369,0.145,0.473,0
"ARHGEF9",0,-0.548209418552552,0.16,0.488,0
"SGIP1",0,-0.279585699832862,0.237,0.564,0
"ATP5ME",0,-0.830567047856951,0.094,0.421,0
"ARID1B",0,-0.493855532381795,0.196,0.522,0
"LINC01414",0,-2.03762371141238,0.067,0.393,0
"TAGLN3",0,-0.370516564452369,0.16,0.486,0
"H3F3A",0,-0.630146784561255,0.545,0.87,0
"AFF3",0,-0.649032629177593,0.175,0.499,0
"PDE4D",0,-0.593392032579287,0.201,0.525,0
"TM7SF2",0,-0.98742042829,0.081,0.405,0
"GRIK2",0,-0.263555290585445,0.253,0.577,0
"HNRNPL",0,-0.529475251306166,0.157,0.481,0
"CASK",0,-0.250634609808429,0.226,0.549,0
"REX1BD",0,-0.615283501641836,0.107,0.428,0
"GRID1",0,-0.615180155308697,0.188,0.508,0
"DLG2",0,-0.959462545657766,0.129,0.449,0
"DYNC1I2",0,-0.378400268527755,0.167,0.487,0
"PHACTR1",0,-0.553192660704401,0.176,0.495,0
"CKAP5",0,-0.315831831936718,0.189,0.508,0
"HS6ST3",0,-1.19859030814195,0.127,0.446,0
"PTPRA",0,-0.276128004787941,0.187,0.506,0
"EWSR1",0,-0.43937946109773,0.18,0.499,0
"TCEAL2",0,-0.286581899388391,0.143,0.461,0
"POLR2L",0,-0.679655524865789,0.112,0.43,0
"KCNQ1OT1",0,-0.98396209092402,0.14,0.458,0
"UPF3A",0,-0.840731757105631,0.137,0.455,0
"NBDY",0,-0.316969123771794,0.182,0.5,0
"ELAVL4",0,-0.380101369089077,0.158,0.476,0
"SNCA",0,-0.475638281505383,0.142,0.459,0
"NEGR1",0,-1.09850111506173,0.126,0.442,0
"ROBO1",0,-1.40759177071717,0.102,0.418,0
"MGAT5",0,-0.798871032604239,0.153,0.469,0
"RNF130",0,-0.607485489062166,0.167,0.483,0
"TMEM178B",0,-0.372188780926569,0.216,0.531,0
"STMP1",0,-0.399844422942192,0.14,0.454,0
"RBBP4",0,-0.450151814787523,0.166,0.48,0
"ANKRD36",0,-0.966921764206636,0.159,0.472,0
"RTF1",0,-0.48054957382881,0.16,0.473,0
"DMRTA2",0,-0.737269066870421,0.118,0.43,0
"GABRB1",0,-1.07268701425833,0.119,0.431,0
"ATXN1",0,-0.659379726574641,0.174,0.486,0
"TAF15",0,-0.343424776174722,0.183,0.495,0
"RBBP7",0,-0.443656262551882,0.133,0.445,0
"TNIK",0,-0.286743194747014,0.21,0.521,0
"ATOX1",0,-0.371798134306048,0.133,0.444,0
"C1QL1",0,-0.442830853597583,0.184,0.495,0
"RBMX",0,-0.560689962074011,0.132,0.443,0
"PKIB",0,-0.485115473582944,0.158,0.469,0
"HMGB3",0,-0.639367056674504,0.085,0.395,0
"PPM1E",0,-0.65004129190621,0.148,0.457,0
"ACTL6B",0,-0.650267404984557,0.124,0.433,0
"ALCAM",0,-1.10138741544392,0.121,0.429,0
"SCD5",0,-0.460609332180252,0.135,0.443,0
"TMEM258",0,-0.575480516254961,0.111,0.419,0
"LRFN5",0,-0.880026442568881,0.128,0.436,0
"ITFG1",0,-0.385301993997706,0.177,0.485,0
"FHOD3",0,-0.417476271787984,0.188,0.496,0
"SETBP1",0,-0.281196363630994,0.199,0.507,0
"BZW2",0,-0.485128964277431,0.148,0.455,0
"DPYD",0,-1.16211070266279,0.125,0.432,0
"SRGAP3",0,-0.524534557695022,0.176,0.483,0
"COPG2",0,-0.963281222577045,0.177,0.484,0
"NEBL",0,-0.673972881755149,0.172,0.479,0
"SORCS3",0,-0.851714593025586,0.146,0.451,0
"NPDC1",0,-0.285284667752009,0.18,0.485,0
"RPAIN",0,-0.256890988972189,0.147,0.451,0
"PDAP1",0,-0.274703705455642,0.128,0.432,0
"TNRC6C",0,-0.388430628932378,0.189,0.493,0
"RASAL2",0,-0.550408676619884,0.168,0.472,0
"COX20",0,-0.568756952994326,0.114,0.417,0
"RGS17",0,-0.485938964254896,0.162,0.464,0
"CLSTN1",0,-0.460052936183952,0.153,0.454,0
"NDUFB4",0,-0.260279661144563,0.151,0.452,0
